"Rho","Initial_Mean","Initial_SD","Final_Mean","Final_SD"
0.1,0.0658953396283887,0.00921761672618774,0.395318428266829,0.0632235839207495
0.3,0.192680678241446,0.018639858214237,0.726646928622195,0.0372548942112704
0.5,0.33421772768809,0.0265031105870158,0.853729556300132,0.0195612167858708
0.8,0.596074809625343,0.0324878319646228,0.940997867803838,0.00955855399602204
