"intersection","n_bad","mean_tau","sd_tau","mean_spear","sd_spear"
"B",42,0.904868786584401,0.0174200468625317,0.982948781373014,0.000789887274186828
"B",43,0.902569173350274,0.0209376395328055,0.981919613604197,0.00074196635807499
"B",44,0.902681058673469,0.0195657135657114,0.982208159513805,0.000759490193625898
"B",45,0.902429835934374,0.0161428590242659,0.982195848692418,0.000840908386199334
"B",46,0.901219219026193,0.0208387510886728,0.981277008441172,0.000931015552737292
"B",47,0.89928408485924,0.0187681200824302,0.980947458825427,0.000976842217727804
"B",48,0.898693683187561,0.0188029742255642,0.98084167762343,0.000953372283845572
"B",49,0.897426717619319,0.0199846490958327,0.980322421239412,0.00104325731146373
"B",50,0.894424163265306,0.022624511874897,0.979434333733493,0.000998354326063535
"B",51,0.892001114662733,0.0183983848476302,0.978746764247868,0.00104353035083335
"B",52,0.89691922317314,0.0210682589532068,0.98054299655346,0.000991207560192929
"B",53,0.887068065768818,0.0247924050508742,0.97661706042741,0.00136408646297433
"B",54,0.890387655550025,0.0215703484456444,0.978275243756039,0.00113910161887833
"B",55,0.887076651395252,0.0233756706767192,0.977183475512654,0.00112024293177098
"B",56,0.885521244563399,0.0222482179245832,0.976551476984236,0.00128231942078178
"B",57,0.883811673805325,0.0219902663438544,0.976073763826518,0.00131485894899336
"B",58,0.882604216562658,0.0226200952200596,0.975722988699612,0.00135316145008524
"B",59,0.880555440765518,0.0281675061614697,0.974207086320005,0.00113817599390905
"B",60,0.880657006802721,0.0203350375498629,0.974843621448579,0.0012027407174148
"B",61,0.88078736230894,0.0248026092279331,0.974367724663087,0.00134070910302361
"B",62,0.876066335105471,0.0280715705709359,0.972495073995985,0.00160138237407677
"B",63,0.877225109790752,0.0248714248239725,0.973397581817537,0.0013467308352675
"B",64,0.88153545485991,0.0267473476351758,0.974558300608379,0.0018638536235552
"B",65,0.876271089882762,0.0211206501265808,0.972914498224822,0.00133314183659809
"B",66,0.873849712192569,0.0273241452266633,0.971744968756733,0.00143982759395552
"B",67,0.872403678724709,0.0246380933050753,0.971528616253368,0.00156968521652376
"B",68,0.867296340605208,0.0248648174669117,0.969547493480151,0.00163059917331832
"B",69,0.866338369113879,0.0271901193946533,0.969462760688691,0.00158160813751178
"B",70,0.866345767524401,0.026189999699722,0.968832081006316,0.00176571308711949
"B",71,0.869166241867926,0.026609743139763,0.970473026940034,0.00170934494443352
"B",72,0.862509846043681,0.0287462592562724,0.967582401381605,0.00171710943773426
"B",73,0.867005663939585,0.0250046826473317,0.969350422812297,0.00139188394970489
"B",74,0.864719017518512,0.0265668730251233,0.968682140466806,0.00203317035468816
"B",75,0.859292299319728,0.0253862861939841,0.965997697212218,0.00151272116874574
"B",76,0.857453498542274,0.0267284244652486,0.965583236151603,0.00200161687321162
"B",77,0.857432415118514,0.0280630353126295,0.965918313513746,0.00185408831441707
"B",78,0.856552822209965,0.0271824352884402,0.964980712284914,0.00181337237664379
"B",79,0.849836328377505,0.028457143147152,0.962278817771453,0.00223858789553575
"B",80,0.855814322820037,0.0316291238552292,0.96505890647168,0.00175552286773004
"B",81,0.851090038207064,0.0291174168848704,0.962870430363926,0.00236756227003234
"B",82,0.848069425201273,0.0307072925360985,0.961602550745069,0.00214352477199158
"B",83,0.843409762061507,0.027428143651524,0.959582113398355,0.00222380400394128
"B",84,0.846483900226757,0.028235244943476,0.961039727001912,0.00204268556337576
"B",85,0.845988267679165,0.0286168813104127,0.960727734442614,0.00204436601987944
"B",86,0.842284951363723,0.0284920479147052,0.959207620244359,0.00200267912075034
"B",87,0.834203391779247,0.0371106610445685,0.954173597326254,0.00225612116472837
"B",88,0.839883403927609,0.0279044461334437,0.957729651860744,0.0021651832349582
"B",89,0.839137169939066,0.0320313586001133,0.957524138755028,0.00194660323518805
"B",90,0.835188260447036,0.0347787239780002,0.955268479963414,0.00225956386195656
"B",91,0.837095830485304,0.0285330710044053,0.956472279246627,0.00248041241350951
"B",92,0.83209819466248,0.0257631556019841,0.954768335026318,0.00228096584284157
"B",93,0.832839672680666,0.0314705040220667,0.95515649970133,0.00234041113932289
"B",94,0.829184069744403,0.0302208930747337,0.952543474865674,0.00230153414635548
"B",95,0.831553927327028,0.0249505140441064,0.954094363599098,0.00222850652667404
"B",96,0.829390556222489,0.0297904085688431,0.953672509003601,0.0024656021356802
"B",97,0.81845356388861,0.0320260459213938,0.947439580364165,0.00243400454325076
"B",98,0.822572398464336,0.0344867580327735,0.949562312053534,0.00265160072567925
"B",99,0.821985988425221,0.0330751371428758,0.949087011521026,0.00262113995299681
"B",100,0.819646367346939,0.0386691040604738,0.947388518607443,0.00276689755491182
