"intersection","n_bad","mean_tau","sd_tau","mean_spear","sd_spear"
"A",73,0.734765872516407,0.0548993675655535,0.896049339207048,0.00378435902464105
"A",74,0.734535958100054,0.0485939398983026,0.895518949526713,0.00306846510738412
"A",75,0.737840108843537,0.049117355345501,0.898446896625317,0.00325293779930067
"A",76,0.731005758017493,0.0455098727259566,0.894090816326531,0.00328703135048921
"A",77,0.710379061041457,0.0535599311906279,0.87859047906158,0.00376514285403297
"A",78,0.711673763559478,0.0492601976693811,0.879615919881466,0.00399976070726433
"A",79,0.694448905716133,0.0474264086806959,0.867237963420662,0.00389446394367778
"A",80,0.688917402597403,0.0488662388909141,0.862212908436102,0.00325183711583903
"A",81,0.682725039604883,0.051459286318417,0.857630964714653,0.00391720272178804
"A",82,0.674301741246958,0.052636951489483,0.851161981122724,0.00384275084466609
"A",83,0.675694987303677,0.0502124463986689,0.852716167757426,0.003191934922988
"A",84,0.66192947845805,0.055308618486787,0.840835036236717,0.00359902503493054
"A",85,0.658639278595159,0.0566233394626997,0.836888234735755,0.00329643191079602
"A",86,0.641065267976349,0.0592096946824227,0.822296242609193,0.00398486099206105
"A",87,0.633327661205327,0.0590719353342843,0.815396441393459,0.00302043754531081
"A",88,0.614960030804775,0.061291889021948,0.79879679720945,0.00318934907845809
"A",89,0.616792030177,0.057648406575976,0.79915721056195,0.00384440023351152
"A",90,0.612755529640428,0.0643466384721012,0.795635209512376,0.00345128011765123
"A",91,0.58854666536471,0.0685355279012417,0.773512637207993,0.00291893060245755
"A",92,0.576598037676609,0.0664420974988126,0.761023441684366,0.00378946125647112
"A",93,0.55480958296362,0.0663479247041185,0.738034757091242,0.0028779381504426
"A",94,0.556468397067565,0.0793266481412791,0.739438096015105,0.00334854715602899
"A",95,0.549109566948731,0.0722908610894333,0.731590567153691,0.00316115525571538
"A",96,0.537227931172469,0.0731250441292589,0.717861991855566,0.00303775974959938
"A",97,0.515786950839449,0.0830606563532862,0.694880925375076,0.00334537404907923
"A",98,0.50563847241867,0.0721121947818059,0.684964786706762,0.00335937971431007
"A",99,0.494724012590111,0.0803567653395144,0.672565389140731,0.00357177651862698
"A",100,0.493895836734694,0.0647119472334393,0.672678352941177,0.00303623035302802
