"intersection","n_bad","mean_tau","sd_tau","mean_spear","sd_spear"
"C",85,0.799797702895112,0.0390370179574947,0.937413743543929,0.00348835257162809
"C",86,0.787603356856761,0.0407874179186604,0.930243053483075,0.00320935058727673
"C",87,0.788709629203794,0.0405439486076902,0.930939771965124,0.00290488166899126
"C",88,0.781110897189064,0.0450807627576952,0.925363632245351,0.00337477347897807
"C",89,0.776330089950672,0.041214593161137,0.923745425373941,0.00315522077344074
"C",90,0.768006375121477,0.0413212133691054,0.920089457497285,0.00361589506080285
"C",91,0.76453276047261,0.0415111193645022,0.915963124005583,0.00329315775426286
"C",92,0.761724489795918,0.0439578611701066,0.914412845138055,0.00431007755745255
"C",93,0.75585030069999,0.0468825875206661,0.911177614234099,0.00460172236569605
"C",94,0.755451079849416,0.0540923631081786,0.909148036690404,0.00298596102586459
"C",95,0.74512406172225,0.0493963894093707,0.902989343249495,0.00418664038781546
"C",96,0.746634333733493,0.0532789976829398,0.9025081232493,0.00405945203230875
"C",97,0.743912013672464,0.0459318292594763,0.902692439340268,0.00411825642053841
"C",98,0.740390381895332,0.0458440513440378,0.900985335124149,0.00411572172139376
"C",99,0.751810904660372,0.0430790546316255,0.908344204547491,0.00377724726589975
"C",100,0.73068,0.0501822145840347,0.89263862184874,0.00436039923250103
