"Intersection","Good","Byzantine","Kendall_Mean","Kendall_SD","Spearman_Mean","Spearman_SD"
"A",201,99,0.744213138389684,0.0474660157018803,0.902555954919281,0.0334679892107848
"A",202,98,0.756197534855526,0.0353182039529277,0.912192628338464,0.0218382993729138
"A",203,97,0.746961294862773,0.0469472709196384,0.905089491954417,0.0327303537248817
"A",204,96,0.747756702681072,0.0369395853026304,0.905732410611303,0.0261350053168835
"A",205,95,0.741976465903435,0.0484468316472073,0.900932842210055,0.0338910936753102
"A",206,94,0.751747176540519,0.0413830857350457,0.908142118206506,0.0287868467881062
"A",207,93,0.754889243813467,0.0402595632245894,0.910180345761493,0.0284639402718858
"A",208,92,0.763404866562009,0.0412864054761899,0.915788890940992,0.0267940701859894
"A",209,91,0.772020857338151,0.0369235775680048,0.921320624709214,0.0240809098213577
"A",210,90,0.775990048590865,0.0354909746600922,0.924201616646659,0.0230247505493887
"A",211,89,0.771890821162588,0.0410555863068561,0.920438936522476,0.0278088029139245
"A",212,88,0.768161417019638,0.0453021082706248,0.918304550499445,0.0296027506235709
"A",213,87,0.779587850915014,0.0384627656330681,0.925850921777162,0.0248602633937749
"A",214,86,0.787475720007629,0.0359081163113196,0.930391832246917,0.0229717994919489
"A",215,85,0.786566834361652,0.0386095607531981,0.928944079957564,0.0249874805390797
"A",216,84,0.787801360544218,0.0461007765488439,0.928846747587924,0.0313070865579559
"A",217,83,0.792316749741371,0.0379361704588903,0.932479072366274,0.0231386767647026
"A",218,82,0.795492080134806,0.0367778453834071,0.935081590801458,0.0208749798833064
"A",219,81,0.797507184791725,0.0370782058292934,0.935323293152878,0.0239006826204845
"A",220,80,0.796093506493507,0.036896481917889,0.934514582560297,0.0245879938085087
"A",221,79,0.80474917351556,0.0316666662947671,0.939968776650932,0.0183401502713548
"A",222,78,0.804575105717963,0.0338322960259341,0.939556717822264,0.0226529922460593
"A",223,77,0.808186107806351,0.0330069521347683,0.941741236763764,0.0193601425275993
"A",224,76,0.806113994169096,0.0367944733698875,0.940377585319842,0.0212886952054589
"A",225,75,0.810660861678005,0.0361467626149354,0.943437735627584,0.0224691181289939
"A",226,74,0.819842369514177,0.0274700210367498,0.94767324841441,0.0155024576362229
"A",227,73,0.817450543918008,0.0320747053493297,0.946358847327477,0.0171234861253316
"A",228,72,0.821775581811672,0.0324222325277559,0.94928980434279,0.0173367858701875
"A",229,71,0.821514945192051,0.0403248354539874,0.948376189602478,0.0212367208518633
"A",230,70,0.831701579414375,0.0331522627255248,0.953772226107834,0.0173978786547796
"A",231,69,0.828534252142415,0.0357538052900653,0.95242391605993,0.0175434361600716
"A",232,68,0.831425193525686,0.0296025740468813,0.954833083578259,0.0147993848580588
"A",233,67,0.835387369711833,0.0320879632299075,0.955793088737641,0.0167835464874275
"A",234,66,0.834537728937729,0.0348297733127799,0.954992327187285,0.0181245704956213
"A",235,65,0.838012053842814,0.0341626672717356,0.955981156036883,0.0180180964787552
"A",236,64,0.840253614666205,0.0348996505388339,0.958019459987385,0.0172601784383429
"A",237,63,0.847222526478946,0.0333130747158352,0.961553796202025,0.0162589067300864
"A",238,62,0.852908111816155,0.0263702842621196,0.962983857072241,0.013209962629139
"A",239,61,0.853804457347793,0.0296850001634726,0.963876456021739,0.0140952182481325
"A",240,60,0.860570612244898,0.0238948103269049,0.96740643457383,0.0102963124622393
"A",241,59,0.8591140994157,0.0289174662102729,0.967072380487465,0.0133423439382762
"A",242,58,0.863872895935234,0.0257041228576761,0.968558999136845,0.0105958756839471
"A",243,57,0.865458369026623,0.0264691293092806,0.969166183016416,0.0107319236715577
"A",244,56,0.86574974907996,0.0254714813324023,0.969316371794619,0.0110006434024138
"A",245,55,0.870661890878801,0.0227257420269161,0.971207683073229,0.0094597967650177
"A",246,54,0.871034610917538,0.0281354964316655,0.97072637445222,0.0116782830975192
"A",247,53,0.8713571180699,0.0233579443520585,0.970957446622374,0.00894098863426339
"A",248,52,0.875989071757735,0.0246918823934429,0.973214560662975,0.00959167741829448
"A",249,51,0.875871026965003,0.0215133424502094,0.973008229797943,0.00815008629404473
"A",250,50,0.880128130612245,0.0190991258603547,0.974813456902761,0.00753999074899661
"A",251,49,0.88027397349378,0.0212092350446002,0.975029782430901,0.00813908820136008
"A",252,48,0.884246193715581,0.0173799943337354,0.976481030507441,0.00621995007572332
"A",253,47,0.886874437363878,0.0203239552544772,0.977203721963094,0.00728303315137674
"A",254,46,0.888279993572232,0.0184405961372058,0.977889839400327,0.00657353635058488
"A",255,45,0.890561920768307,0.0167046052662315,0.978631316997387,0.00598233559816613
"A",256,44,0.895160969387755,0.0195241294504782,0.980035076530612,0.00690334566103703
"A",257,43,0.895107821805765,0.0167960344541063,0.979927462969624,0.00593632919413852
"A",258,42,0.895302515424775,0.0201361357436842,0.980198345384666,0.00697988661197099
"A",259,41,0.89567611693326,0.0160732248262878,0.980675988078629,0.00463649501324277
"A",260,40,0.900871711145997,0.0179320144328204,0.981665830639948,0.00596425111870838
"A",261,39,0.903272750019548,0.0183920901662177,0.982624384006476,0.00571744103424446
"A",262,38,0.904165134756193,0.0179087994842981,0.982897053783345,0.0052724342502017
"A",263,37,0.907403119422674,0.0182152940231471,0.983729529530443,0.0053141093758637
"A",264,36,0.907105751391466,0.0192849816940583,0.983515326130452,0.00609883884490585
"A",265,35,0.906322680015402,0.0197450927543693,0.983151788715486,0.0061705746060785
"A",266,34,0.907402669940157,0.0178056459417944,0.983712245800576,0.00580294626961923
"A",267,33,0.907743606206528,0.0201209768574161,0.983658865793508,0.0058417940581357
"A",268,32,0.910961194029851,0.0174592546206565,0.98465263836878,0.005211705324898
"A",269,31,0.91254539109324,0.0155355416001046,0.985295047684501,0.0047700640976511
"A",270,30,0.912801088435374,0.0172105035091168,0.985033472944733,0.0045209360231081
"A",271,29,0.913434324873861,0.0160824443388125,0.985242205516893,0.00471525048452533
"A",272,28,0.913060264105642,0.0171753015454806,0.985131297224772,0.0052656440586875
"A",273,27,0.915148568438364,0.015249182230329,0.985732540048987,0.00463995778939928
"A",274,26,0.914988231789066,0.0153312543634477,0.985671517073983,0.00477803583312511
"A",275,25,0.919855495361781,0.016450139151291,0.987213117101386,0.00475153938875956
"A",276,24,0.919576929902396,0.0168748336329933,0.986939429684917,0.00470683241077953
"A",277,23,0.921134487585648,0.0150155758771529,0.987306994422318,0.00463806888140773
"A",278,22,0.921714755542505,0.0143538356822075,0.987599485261731,0.00423945618002045
"A",279,21,0.923471172555044,0.015093267506165,0.988069419595795,0.00423000359394707
"A",280,20,0.921579358600583,0.0132102671823371,0.987660408163265,0.00392037341969634
"A",281,19,0.924444418621541,0.0117431580803503,0.988386323924588,0.00340310566129697
"A",282,18,0.923365928499059,0.014879125211556,0.988216828859203,0.00428031709223033
"A",283,17,0.924334318886565,0.014916507901747,0.988504330636848,0.00429816284778541
"A",284,16,0.924858407588387,0.0150039057448428,0.988730358622322,0.00398034993547972
"A",285,15,0.92631888292159,0.0150595993611123,0.988876621806617,0.00412703664870926
"A",286,14,0.92728825460254,0.0149088371895922,0.989070915638983,0.004089126723933
"A",287,13,0.92864623480054,0.0126239806796754,0.98945220457521,0.00285635622098166
"A",288,12,0.930039342403628,0.0121110274384323,0.989732526343871,0.0028769918850015
"A",289,11,0.93098928041805,0.0122896961161754,0.990019009956924,0.00298524301361567
"A",290,10,0.929371653764954,0.0147308909203829,0.989471520470257,0.00386238194645966
"A",291,9,0.930180124833438,0.0141569564722955,0.989607059318573,0.00367361443892579
"A",292,8,0.931102040816327,0.0136065749274569,0.989805351181569,0.00367124802241359
"A",293,7,0.930835244131782,0.0135913163694751,0.989860414882677,0.00364802050506269
